dimension,pole_a,keyword_a,pole_b,keyword_b
動機,内発,情熱,目的整合,冷静
動機,内発,好奇心,目的整合,慎重さ
動機,内発,ワクワク,目的整合,使命感
動機,内発,探究心,目的整合,責任感
動機,内発,やりたいこと,目的整合,やるべきこと
動機,内発,内発的動機,目的整合,外発的動機
動機,内発,興味関心,目的整合,目標達成
動機,内発,自由探索,目的整合,社会貢献
動機,内発,楽しさ,目的整合,意義
動機,内発,直感,目的整合,計算
生成,発散,ブレスト,収束,精査
生成,発散,アイデア出し,収束,絞り込み
生成,発散,発散思考,収束,収束思考
生成,発散,可能性を広げる,収束,可能性を絞る
生成,発散,量を重視,収束,質を重視
生成,発散,自由発想,収束,論理的思考
生成,発散,直感的発想,収束,分析的思考
生成,発散,拡散,収束,集約
生成,発散,多様性,収束,一貫性
生成,発散,幅広く,収束,深く
進行,柔軟,柔軟性,粘り,一貫性
進行,柔軟,切り替え,粘り,継続
進行,柔軟,臨機応変,粘り,やり抜く力
進行,柔軟,適応,粘り,貫徹
進行,柔軟,変化対応,粘り,粘り強さ
進行,柔軟,流動的,粘り,安定的
進行,柔軟,素早い判断,粘り,じっくり熟考
進行,柔軟,複数同時,粘り,一点集中
進行,柔軟,方向転換,粘り,一直線
進行,柔軟,状況に応じて,粘り,一貫して
価値創出,改善,改善,発明,発明
価値創出,改善,最適化,発明,創造
価値創出,改善,改良,発明,革新
価値創出,改善,ブラッシュアップ,発明,イノベーション
価値創出,改善,現実的,発明,画期的
価値創出,改善,実用性,発明,独創性
価値創出,改善,現状の延長,発明,既存の打破
価値創出,改善,漸進的,発明,飛躍的
価値創出,改善,積み重ね,発明,breakthrough
価値創出,改善,実験,発明,安定運用
表現,自己表現,自己表現,共感価値,配慮
表現,自己表現,独自性,共感価値,親しみやすさ
表現,自己表現,個性,共感価値,共感
表現,自己表現,自分らしさ,共感価値,相手目線
表現,自己表現,オリジナリティ,共感価値,わかりやすさ
表現,自己表現,表現の深さ,共感価値,伝わりやすさ
表現,自己表現,アート,共感価値,デザイン
表現,自己表現,自己満足,共感価値,他者貢献
表現,自己表現,主張,共感価値,調和
表現,自己表現,内面表現,共感価値,外向き表現
思考,抽象,抽象的思考,具体,現場感覚
思考,抽象,概念化,具体,事例収集
思考,抽象,理論,具体,実践
思考,抽象,モデル,具体,具体例
思考,抽象,構造理解,具体,経験学習
思考,抽象,本質追求,具体,現実対応
思考,抽象,原理原則,具体,ケースバイケース
思考,抽象,全体像,具体,細部
思考,抽象,演繹的,具体,帰納的
思考,抽象,概念,具体,実例
実行,即興,即興,設計,準備
実行,即興,スピード感,設計,丁寧さ
実行,即興,アドリブ,設計,段取り
実行,即興,動きながら考える,設計,考えてから動く
実行,即興,見切り発車,設計,計画性
実行,即興,その場対応,設計,事前設計
実行,即興,直感的行動,設計,戦略的行動
実行,即興,試行錯誤,設計,プロトタイプ
実行,即興,スピード優先,設計,品質優先
実行,即興,走りながら,設計,立ち止まって
協働,単独集中,一人で集中,協働駆動,みんなで
協働,単独集中,マイペース,協働駆動,協調
協働,単独集中,単独作業,協働駆動,チームワーク
協働,単独集中,自律,協働駆動,対話
協働,単独集中,独力,協働駆動,協力
協働,単独集中,個人プレー,協働駆動,連携
協働,単独集中,内省,協働駆動,議論
協働,単独集中,ソロ,協働駆動,コラボ
協働,単独集中,自分のペース,協働駆動,他者との歩調
協働,単独集中,孤独,協働駆動,共創
